Type;Link;First-Shared
fake;[Fact check: Ramakrishna hospital has neither been sealed nor has its staff tested positive for COVID 19](https://newsmeter.in/fact-check-ramakrishna-hospital-has-neither-been-sealed-nor-has-its-staff-tested-positive-for-covid-19/amp/);2020/06/08
partiallyfalse;"[Who: ""Live on #COVID19 transmission with @DrMikeRyan & Dr @mvankerkhove. #AskWHO""](https://www.pscp.tv/w/ca41sji2mtaymhwxdkfhunjhqk1nukdsjwws0eqifd5td6zzf587shtgk7jkucak4hxoersgoeg=)";2020/06/09
fake;[الصفحة غير موجودة - 24 ساعة](https://www.24saa.ma/246612.html);2020/08/15
fake;[NO TITLE ERROR](https://twitter.com/who/status/1235949172236247040?s=20);2020/03/06
fake;[Prima di continuare su YouTube](https://www.youtube.com/watch?v=sepagitk9sm);2020/03/22
fake;[NO TITLE ERROR](https://twitter.com/nbcnews/status/1242212084647104514);2020/03/24
fake;[NO TITLE ERROR](https://bit.ly/2ravt42);2020/04/03
fake;[ Page Not Found • Instagram](https://www.instagram.com/p/b_nngxphgii/?igshid=1wjkaq0zxqehl);2020/04/20
fake;[Hoogste Limburgse carnavalsonderscheiding naar Eurocommissaris Frans Timmermans - L1](https://l1.nl/hoogste-limburgse-carnavalsonderscheiding-naar-eurocommissaris-frans-timmermans-141567/);2020/04/29
fake;[NO TITLE ERROR](https://twitter.com/chrisklomp/status/1255234718288707585);2020/04/29
fake;[NO TITLE ERROR](https://twitter.com/veja/status/1255656534484365312);2020/04/30
fake;[Vice President Pence Delivers PPE to Woodbine Rehabilitation Center | C-SPAN.org](https://www.c-span.org/video/?471876-1/vice-president-pence-delivers-ppe-woodbine-rehabilitation-center);2020/05/08
fake;[NO TITLE ERROR](https://twitter.com/mattmfm/status/1258750892448387074);2020/05/08
fake;[NO TITLE ERROR](https://twitter.com/davidmackau/status/1258765030411186177);2020/05/08
fake;[Project not found - Infogram](http://bit.ly/reportecovid-19);2020/05/08
partiallyfalse;[NO TITLE ERROR](https://twitter.com/djjudd/status/1259999110188412928);2020/05/12
fake;[NO TITLE ERROR](https://twitter.com/santitaj/status/1260178025397858306);2020/05/12
fake;[Día Internacional de la Enfermera: Investen-isciii recuerda la relevancia de la investigación en cuidados para mejorar la práctica clínica](https://bit.ly/2ytsryf);2020/05/12
fake;[Prima di continuare su YouTube](http://youtu.be/ippt7gje4zm);2020/05/12
fake;[The Tweeted Times - personal newspaper generated from your Twitter account](http://tweetedtimes.com/geoweeb?s=tnp);2020/05/14
partiallyfalse;[NO TITLE ERROR](https://twitter.com/bellmanequation/status/1262723291195858945);2020/05/19
partiallyfalse;[NO TITLE ERROR](https://www.cms.gov/files/document/qso-20-14-nh-revised.pdf);2020/05/21
partiallyfalse;[NO TITLE ERROR](https://twitter.com/nypost/status/1263175238059163648);2020/05/21
fake;[NO TITLE ERROR](https://twitter.com/drtedros/status/1263370492590919681);2020/05/21
fake;[NO TITLE ERROR](https://science.sciencemag.org/content/sci/early/2020/06/22/science.abc6810.full.pdf);2020/06/24
fake;[Coronavirus disease (COVID-19)](http://bit.ly/2tbtrb0);2020/02/04
fake;[Coronavirus disease (COVID-19): What parents should know | UNICEF](https://www.unicef.org/stories/novel-coronavirus-outbreak-what-parents-should-know);2020/03/07
fake;[Bloomberg - Are you a robot?](https://www.bloomberg.com/news/articles/2020-03-29/gottlieb-says-social-distancing-must-go-on-until-infection-slows);2020/03/30
partiallyfalse;[Worldometer - real time world statistics](http://worldometers.info);2020/04/10
fake;[NO TITLE ERROR](https://twitter.com/fordmich/status/1254127200179273729);2020/04/25
fake;[The White House Gift Shop is selling coronavirus commemorative coins now / LGBTQ Nation](https://www.lgbtqnation.com/2020/04/white-house-gift-shop-selling-coronavirus-commemorative-coins-now/);2020/04/29
fake;[La Seguridad Social no te ha enviado ningún reembolso por correo electrónico | Oficina de Seguridad del Internauta](https://bit.ly/2yyut2r);2020/05/01
fake;[Provisional Death Counts for Coronavirus Disease 2019 (COVID-19)](https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm);2020/05/02
fake;[Prima di continuare su YouTube](https://www.youtube.com/watch?v=j-vdmt9vyfw);2020/05/02
fake;[Video shock, Grillo con la mascherina il 17 dicembre. Chi sapeva? (Video) - 7colli.it](https://www.7colli.it/video-shock-grillo-con-la-mascherina-il-17-dicembre-chi-sapeva-video-9217/);2020/05/03
fake;[Active Monitoring of Persons Exposed to Patients with Confirmed COVID-19 â United States, JanuaryâFebruary 2020  | MMWR](https://www.cdc.gov/mmwr/volumes/69/wr/mm6909e1.htm?s_cid=mm6909e1_w);2020/05/04
fake;[Carta Abierta - Equis](http://bit.ly/-cartaab);2020/05/06
fake;[404 Not Found](https://ncdc.gov.ng/diseases/sitreps/?cat=14&name=an%20update%20of%20covid-19%20outbreak%20in%20nigeria);2020/05/07
fake;[House GOP urge Trump against supporting additional funding for state and local governments | TheHill](https://thehill.com/homenews/house/496735-house-gop-urge-trump-against-supporting-additional-funding-for-state-and-local);2020/05/08
fake;[Prima di continuare su YouTube](https://youtu.be/aika0nunc-u);2020/05/10
fake;[NO TITLE ERROR](https://twitter.com/pibfactcheck/status/1260106349062418432);2020/05/12
fake;[NO TITLE ERROR](https://twitter.com/zoo_bear/status/1260623018453200897);2020/05/13
partiallyfalse;[Prima di continuare su YouTube](https://youtu.be/bbkfzhdpqya);2020/05/20
partiallyfalse;[NO TITLE ERROR](https://twitter.com/numerama/status/1265241858118242304);2020/05/26
fake;[Infections Swamp the U.S., Which Recorded 42% of All Its Coronavirus Cases in July - The New York Times](https://nyti.ms/3fokihk);2020/08/01
fake;[Links - Health Protection Surveillance Centre](https://bit.ly/3eo6cpz);2020/08/04
fake;[NO TITLE ERROR](https://twitter.com/pau_vega13/status/1291571195708571649);2020/08/07
fake;[NO TITLE ERROR](https://www.freitag.de/autoren/magda/corona-gibts-schon-eine-weile);2020/03/16
partiallyfalse;"[CMO Maharashtra: ""CM Uddhav Balasaheb Thackeray addressing the State""](https://www.pscp.tv/w/cuxw2dfvuetmtvjiwlpvamr8mwxqsnfwcwd6dmx4yj86pi104dx_gdkefuhaizevxuecsjf9kd3qfyg7ioie)";2020/03/22
partiallyfalse;"[Coronavirus Live Updates: Lockdown, unprecedented restrictions across the country;  trains, bus services suspended till March 31](http://bit.ly/2utlv06)";2020/03/23
fake;[ÐÐ°ÐºÐµÐ´Ð¾Ð½ÑÐºÐ¸ - ÐÐ¾ÑÐµÑÐ½Ð°](http://teamoderna.com.mk/);2020/04/02
fake;[NO TITLE ERROR](https://twitter.com/ani/status/1245748045670645762);2020/04/02
fake;[ジョンソン首相の怒り＝輸入検査キット、中共ウイルスが付着　故意か – 看中国 / VisionTimesJP](https://www.visiontimesjp.com/?p=5170&fbclid=iwar3loazm05f0t-ub_65tficvx2plzlwxm-ycps-dulzoe1u41kn04impv3k);2020/04/15
fake;[L'Heure des Pros du 17/04/2020 | CNEWS](https://bit.ly/3aejshw);2020/04/17
partiallyfalse;[COVID-19 Antibody Seroprevalence in Santa Clara County, California | medRxiv](https://www.medrxiv.org/content/10.1101/2020.04.14.20062463v1);2020/04/18
partiallyfalse;[ ](http://createsend.com/t/j-296d9d8ce54262bb2540ef23f30feded);2020/04/20
partiallyfalse;[NO TITLE ERROR](https://twitter.com/lizszabo/status/1252327041560653830);2020/04/20
fake;[Comunicado sobre el Seguro de Vehículos Automotores y/o Remolcados | Argentina.gob.ar](https://www.argentina.gob.ar/noticias/comunicado-sobre-el-seguro-de-vehiculos-automotores-yo-remolcados);2020/04/21
fake;[Press Information Bureau](https://pib.gov.in/pressrelesedetail.aspx?prid=1617152);2020/04/22
fake;[CAMS tracks a record-breaking Arctic ozone hole | Copernicus](https://bit.ly/39jqru8);2020/04/23
fake;[Don't eat or inject yourself with disinfectant, warns FDA commissioner](https://cnn.it/2yddvvw);2020/04/24
fake;[McConnell pushes 'bankruptcy route' as local governments struggle - POLITICO](https://politi.co/351sbpi);2020/04/24
fake;[403 Forbidden](https://sharechecklist.gov.uk);2020/04/26
fake;[¿Sabes por qué decenas de camiones salieron este sábado a las calles de Ourense?](https://www.laregion.es/articulo/quen-cho-dixo/sabes-decenas-camiones-salieron-sabado-calles-ourense/20200426080823941975.html);2020/04/26
fake;[Two Bakersfield doctors cite their testing data to urge reopening | News | bakersfield.com](https://www.bakersfield.com/news/two-bakersfield-doctors-cite-their-testing-data-to-urge-reopening/article_eb1959e0-84fa-11ea-9a07-2f2bea880bf9.html);2020/04/26
partiallyfalse;[Prima di continuare su YouTube](https://m.youtube.com/watch?feature=youtu.be&v=xflvxx_lblu);2020/04/26
fake;[Earth Finally Fixed Largest Ozone Layer Hole Above Arctic, Healing 1 Million Square Km](https://www.indiatimes.com/technology/science-and-future/earth-finally-fixed-largest-ozone-layer-hole-above-arctic-healing-1-million-square-km-511794.html);2020/04/26
fake;[Prima di continuare su YouTube](https://youtu.be/fc2fvzuehna);2020/04/27
fake;[Statement from Tasuku Honjo on COVID-19 | KYOTO UNIVERSITY](https://www.kyoto-u.ac.jp/en/about/events_news/department/koto-kenkyu-in/news/2020/200427_1.html);2020/04/28
fake;[‘White House’ Gift Shop Sells COVID-19 Commemorative Coins](https://www.thedailybeast.com/white-house-gift-shop-sells-covid-19-commemorative-coins);2020/04/29
fake;[Prima di continuare su YouTube](https://www.youtube.com/watch?v=eqb1vxhkaas);2020/05/05
fake;[Prevalence of Asymptomatic SARS-CoV-2 Infection: A Narrative Review: Annals of Internal Medicine: Vol 173, No 5](https://www.acpjournals.org/doi/10.7326/m20-3012);2020/06/03
fake;[Página no encontrada [/multimedia/videos/consejoministros/Paginas/directo.aspx]](https://www.lamoncloa.gob.es/multimedia/videos/consejoministros/paginas/directo.aspx);2020/07/06
fake;[NO TITLE ERROR](https://twitter.com/abominablebob/status/1234628542337605632);2020/03/03
fake;[NO TITLE ERROR](https://twitter.com/bjp4delhi/status/1239840390598942721);2020/03/17
fake;[BBC - Error 404: Not Found](http://bbc.com/africa);2020/03/20
fake;[Corona Virus: Nigerians Deserve Palliative Measures.](https://link.medium.com/tmigqi0684);2020/03/25
partiallyfalse;[NO TITLE ERROR](https://twitter.com/lindaitalian/status/1243857275896430593);2020/03/28
fake;[NO TITLE ERROR](https://twitter.com/kanwardeepstoi/status/1244508599038009344);2020/03/30
fake;[Hackers Take Advantage of Zoom's Popularity to Push Malware](https://bit.ly/2xjvjvt);2020/04/01
fake;[Prima di continuare su YouTube](https://m.youtube.com/watch?v=c3bfraooh84);2020/04/02
partiallyfalse;[NO TITLE ERROR](https://twitter.com/i/broadcasts/1jmjgqolmoekl);2020/04/03
partiallyfalse;[NO TITLE ERROR](https://ustr.gov/sites/default/files/enforcement/301investigations/%24300_billion_exclusions_granted_march_2020.pdf);2020/04/04
fake;[Release notes for Windows – Zoom Help Center](https://support.zoom.us/hc/en-us/articles/201361953-new-updates-for-windows);2020/04/08
partiallyfalse;[NO TITLE ERROR](https://twitter.com/steph93065/status/1247340325389164545/video/1);2020/04/13
fake;[NO TITLE ERROR](https://twitter.com/vivekagnihotri/status/1249880094832611328/photo/1);2020/04/14
fake;[NO TITLE ERROR](https://twitter.com/itamarbengvir/status/1250035253638545409);2020/04/14
fake;[NO TITLE ERROR](https://twitter.com/repbobbyrush/status/1250417889510899712);2020/04/15
fake;[Los anestesistas advierten de los respiradores turcos - Diario Sanitario](https://diariosanitario.com/anestesistas-respiradores-turquia/);2020/04/15
fake;[Evolutionary origins of the SARS-CoV-2 sarbecovirus lineage responsible for the COVID-19 pandemic | bioRxiv](https://www.biorxiv.org/content/10.1101/2020.03.30.015008v1);2020/04/16
partiallyfalse;[Live | I24NEWS](http://i24ne.ws/hajm30po6e4);2020/04/16
fake;[Suman 114 los trabajadores de la salud con coronavirus en todo el país | Perfil](https://www.perfil.com/noticias/ciencia/suman-114-los-trabajadores-de-la-salud-con-coronavirus-en-todo-el-pais.phtml);2020/04/16
fake;[NO TITLE ERROR](https://twitter.com/shehanmlive/status/1252584478368645120);2020/04/21
fake;[Statement by President Cyril Ramaphosa on South Africa's response to the coronavirus pandemic, Union Buildings, Tshwane | The Presidency](https://bit.ly/2xyysfp);2020/04/23
fake;[Access Restricted](https://wgnradio.com/the-sunday-spin-politics-with-rick-pearson/residents-in-downstate-il-continue-to-seek-a-reasonable-explanation-from-gov-j-b-priztker-about-his-28-day-phasing-plan/);2020/05/11
fake;[NO TITLE ERROR](https://twitter.com/specialistkrant/status/1289159027663024128);2020/07/31
fake;[Noticias Caracol: Principales Noticias de Colombia y el Mundo](http://bit.ly/2uqzkwl);2020/02/25
fake;[Coronavirus in South Korea: How 'trace, test and treat' may be saving lives - BBC News](http://bbc.in/38ngapd);2020/03/15
partiallyfalse;[Franceinfo - En direct](https://bit.ly/2ujcrus);2020/03/18
partiallyfalse;[HCQ_AZ_COVID_19/* 22MarchPREPRINT_AALover_HCQ_AZ_COVID_19.pdf at master · andrewlover/HCQ_AZ_COVID_19 · GitHub](https://github.com/andrewlover/hcq_az_covid_19/blob/master/*%2022marchpreprint_aalover_hcq_az_covid_19.pdf);2020/03/22
partiallyfalse;[NO TITLE ERROR](https://www.mediterranee-infection.com/wp-content/uploads/2020/03/covid-ihu-2-1.pdf);2020/03/28
fake;[NO TITLE ERROR](https://twitter.com/sandoz_global/status/1244442713711353856);2020/03/30
fake;[Cinquante personnes positives au Covid-19 sur le porte-avions Charles-de-Gaulle | LCI](https://bit.ly/3duh6wh);2020/04/02
fake;[NO TITLE ERROR](https://twitter.com/whosearo/status/1246804406705614848?s=19);2020/04/05
fake;[NO TITLE ERROR](https://twitter.com/reetjain15/status/1246864241274933249);2020/04/05
fake;[Where Have All the Heart Attacks Gone? - The New York Times](https://www.nytimes.com/2020/04/06/well/live/coronavirus-doctors-hospitals-emergency-care-heart-attack-stroke.html);2020/04/06
fake;[Page non trouvée - TÊTU](https://tetu.com/2020/04/07/la-ministre-de-la-sante-israelien-est-atteint-du-covid-19-une-punition-contre-lhomosexualite-selon-lui/);2020/04/07
fake;[NO TITLE ERROR](https://twitter.com/vjdabodiya/status/1247859948777701376/video/1);2020/04/08
fake;[महिला कोरोना फाइटर को ब्रेन हेमरेज, 24 घंटे तक डॉक्टरों ने देखा भी नहीं, कोमा में चली गई | MP NEWS](https://www.bhopalsamachar.com/2020/04/24-mp-news.html?m=1);2020/04/09
fake;[Mythbusters](http://bit.ly/covid19mythbusters);2020/04/09
fake;[Not Found](http://bit.ly/ary-news);2020/04/10
fake;[403 Forbidden](https://bit.ly/2xgsdbg);2020/04/10
fake;[Prima di continuare su YouTube](https://youtu.be/rayjn0acczw);2020/04/10
fake;[Telegram: Contact @VOXtelegram](https://t.me/voxtelegram);2020/04/11
fake;[NO TITLE ERROR](https://twitter.com/infobae/status/1249304650156834821);2020/04/12
fake;[NO TITLE ERROR](https://twitter.com/govwhitmer/status/1249428640548507657?s=20);2020/04/12
fake;[Jacques: Confusion over stay-home order leads to car-seat ban at UP store](https://www.detroitnews.com/story/opinion/columnists/ingrid-jacques/2020/04/12/jacques-michigan-weeds-ok-but-car-seats-nope/2978644001/);2020/04/12
fake;[Comunicado de WhatsApp - Información sobre Facebook](https://about.fb.com/es/news/2020/04/comunicado-de-whatsapp/);2020/04/13
fake;[Public statement for collaboration on COVID-19 vaccine development](https://bit.ly/3a7s38c);2020/04/13
fake;[剑桥大学学者：新冠病毒传播始于中国，地点或是广东](https://bit.ly/3bp71eh);2020/04/16
fake;[Aarogya Setu - Apps on Google Play](https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu);2020/05/21
fake;[AarogyaSetu on the App Store](https://apps.apple.com/in/app/aarogyasetu/id1505825357);2020/05/21
fake;[NO TITLE ERROR](https://twitter.com/_digitalindia/status/1263508703224819712);2020/05/21
fake;[PubMed](http://pubmed.gov);2020/07/22
fake;[Not Found](https://play.google.com/store/apps/details?id=com.pedometer.sixpackworkout.loseweight);2020/07/25
fake;[Mythbusters](https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters);2020/02/12
fake;[An Effective Treatment for Coronavirus (COVID-19)_](https://docs.google.com/document/d/e/2pacx-1vti-g18ftnzumraj2swrpodtscfio7bj7gdngbjagbdff67wurjb3zsidgpidb2eocfhavjil-7dej7/pub);2020/03/13
fake;[How the World Bank Group is helping countries with COVID-19 (coronavirus)](https://bit.ly/39vehnw);2020/03/16
fake;[Coronavirus Can Be Stopped Only by Harsh Steps, Experts Say - The New York Times](https://www.nytimes.com/2020/03/22/health/coronavirus-restrictions-us.html);2020/03/23
fake;[NO TITLE ERROR](https://twitter.com/thequint/status/1243109462648315904);2020/03/27
fake;[Rudy Giuliani's Common Sense](http://rudygiulianics.com);2020/03/29
fake;[NO TITLE ERROR](https://twitter.com/secazar/status/1244445179521744899);2020/03/30
fake;[NO TITLE ERROR](https://twitter.com/theprintindia/status/1244453308959342594);2020/03/30
fake;[gov.ie - Department of Housing, Local Government and Heritage](https://www.housing.gov.ie/planning/covid-19-coronavirus/public-participation-period-planning-system-extended);2020/03/30
fake;[Medtronic to share ventilator designs](https://www.rte.ie/news/business/2020/0330/1127365-medtronic-to-share-ventilator-designs/);2020/03/30
fake;[El Coronavirus en Colombia](http://www.coronaviruscolombia.gov.co);2020/03/31
partiallyfalse;[NO TITLE ERROR](https://twitter.com/ani/status/1245348753705504768);2020/04/01
partiallyfalse;[布マスクは有効？　WHOは「どんな状況でも勧めない」 [新型コロナウイルス]：朝日新聞デジタル](http://www.asahi.com/articles/asn424d52n42ulbj003.html?ref=tw_asahi);2020/04/02
fake;[NO TITLE ERROR](https://twitter.com/pmoindia/status/1245918482861936640);2020/04/03
fake;[Barcelona quiere evitar el colapso funerario de Madrid](https://www.lavanguardia.com/vida/20200402/48267075307/barcelona-quiere-evitar-colapso-funerario-madrid.html);2020/04/03
fake;[NO TITLE ERROR](https://twitter.com/marclobliner/status/1246551864621109248);2020/04/04
fake;[Coronavirus – gob.mx](http://www.coronavirus.gob.mx);2020/04/05
fake;[403 Forbidden](https://inq.news/queenmessage);2020/04/06
fake;[Attestation de déplacement dérogatoire](https://media.interieur.gouv.fr/deplacement-covid-19/index.html);2020/04/06
fake;[[Fake News Alert] News That No Person Apart From Govt Is Allowed To Share Or Post COVID-19 Updates Is False](https://www.livelaw.in/top-stories/fake-news-alert-news-that-no-person-apart-from-govt-is-allowed-to-share-or-post-covid-19-updates-is-false-154767);2020/04/06
partiallyfalse;[NO TITLE ERROR](https://twitter.com/fantasma_956/status/1247188570856665090?s=19);2020/04/06
fake;[NO TITLE ERROR](https://twitter.com/augustodefranco/status/1247484403430891521);2020/04/07
fake;[403 Forbidden](https://inq.news/economicgrowth0409);2020/04/09
fake;[Dead man lies on an empty street at China's virus ground zero](http://u.afp.com/3ox7);2020/01/31
partiallyfalse;[Info Coronavirus Covid-19  | Gouvernement.fr](https://www.gouvernement.fr/info-coronavirus);2020/02/26
fake;[NO TITLE ERROR](https://twitter.com/sarahelago/status/1234026169311215616);2020/03/01
fake;[Ministerio de Sanidad, Consumo y Bienestar Social - Profesionales - Situación actual Coronavirus](https://www.mscbs.gob.es/profesionales/saludpublica/ccayes/alertasactual/ncov-china/situacionactual.htm);2020/03/06
fake;[NO TITLE ERROR](https://www.mscbs.gob.es/profesionales/saludpublica/ccayes/alertasactual/ncov-china/documentos/actualizacion_39_covid-19.pdf);2020/03/09
fake;[Prima di continuare su YouTube](https://www.youtube.com/watch?v=pkyx-fyfbgo);2020/03/18
partiallyfalse;[NO TITLE ERROR](https://twitter.com/norbertelekes/status/1240268161578151936);2020/03/18
fake;[Prima di continuare su YouTube](https://bit.ly/33zr22o);2020/03/21
partiallyfalse;[NO TITLE ERROR](https://twitter.com/laprovence/status/1241318809325187072);2020/03/22
fake;[Tucker Carlson Tonight | March 23, 2020 - Dan Patrick, Lieutenant Governor](https://bit.ly/2ugdxhg);2020/03/24
fake;[NO TITLE ERROR](https://twitter.com/khadijasid751/status/1242143695157288962);2020/03/24
fake;[Coronavirus Outbreak in India - covid19india.org](https://www.covid19india.org/faqs);2020/03/25
fake;[Coronavirus Australia: New COVID-19 tests producing results in 15 minutes from a drop of blood set to arrive | 7NEWS.com.au](https://7news.link/2uzgg8r);2020/03/26
partiallyfalse;[FRENTE al CORONAVIRUS las TELECOM están DE TU LADO | Instituto Federal de Telecomunicaciones - IFT](http://www.ift.org.mx/comunicacion-y-medios/frente-al-coronavirus-las-telecom-estan-de-tu-lado);2020/03/26
partiallyfalse;[Coronavirus disease (COVID-19): Tobacco](http://bit.ly/33jfvo0);2020/03/26
fake;[NO TITLE ERROR](http://anses.gob.ar);2020/03/27
fake;[COVID-19: El Gobierno implementará el Ingreso Familiar de Emergencia (IFE) para aliviar la situación de los trabajadores más afectados por la emergencia | Argentina.gob.ar](https://bit.ly/medidasife);2020/03/27
fake;[Home - Johns Hopkins Coronavirus Resource Center](https://coronavirus.jhu.edu);2020/03/28
fake;[WHO | World Health Organization](http://www.who.int);2020/03/30
fake;[Ministère de la Santé](http://www.sante.gov.dz);2020/03/30
fake;[TIMEOUT ERROR](http://covid19.sante.gov.dz);2020/03/30
fake;[](https://pib.gov.in/pressreleasepage.aspx?prid=1609360#);2020/03/30
fake;[NO TITLE ERROR](https://twitter.com/hustlerme_/status/1244945774179483649);2020/03/31
fake;[CONNECTION ERROR](http://www.irs.gov/coronavirus);2020/04/11
