Type;Link;First-Shared
partiallyfalse;"[Who: ""Live on #COVID19 transmission with @DrMikeRyan & Dr @mvankerkhove. #AskWHO""](https://www.pscp.tv/w/ca41sji2mtaymhwxdkfhunjhqk1nukdsjwws0eqifd5td6zzf587shtgk7jkucak4hxoersgoeg=)";09/06/2020
fake;[24saa.ma](https://www.24saa.ma/246612.html);15/08/2020
fake;[Daily media briefing on #COVID19 with @DrTedros.](https://twitter.com/who/status/1235949172236247040?s=20);06/03/2020
fake;[Video su YouTube](https://www.youtube.com/watch?v=sepagitk9sm);22/03/2020
fake;"[NBC News: ""By far the worst virus I have ever endured despite being a healthy individual with strong lungs.�](https://twitter.com/nbcnews/status/1242212084647104514)";24/03/2020
fake;[Hoogste Limburgse carnavalsonderscheiding naar Eurocommissaris Frans Timmermans - L1](https://l1.nl/hoogste-limburgse-carnavalsonderscheiding-naar-eurocommissaris-frans-timmermans-141567/);29/04/2020
fake;"[Chris Klomp: ""Vertel het hem, Robert!""](https://twitter.com/chrisklomp/status/1255234718288707585)";29/04/2020
fake;"[VEJA: ""Colapso previsto por Mandetta come�a a se tornar realidade""](https://twitter.com/veja/status/1255656534484365312)";30/04/2020
fake;[Vice President Pence Delivers PPE to Woodbine Rehabilitation Center | C-SPAN.org](https://www.c-span.org/video/?471876-1/vice-president-pence-delivers-ppe-woodbine-rehabilitation-center);08/05/2020
fake;"[Matt McDermott: ""Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt.""](https://twitter.com/mattmfm/status/1258750892448387074)";08/05/2020
fake;"[David Mack: ""This isn't true.""](https://twitter.com/davidmackau/status/1258765030411186177)";08/05/2020
partiallyfalse;[Tonight's Team Trump Livestream](https://twitter.com/djjudd/status/1259999110188412928);12/05/2020
fake;[TODAY Join @RepBobbyRush on #SantitaJacksonShow](https://twitter.com/santitaj/status/1260178025397858306);12/05/2020
fake;[D��a Internacional de la Enfermera: Investen-isciii recuerda la relevancia de la investigaci�n en cuidados para mejorar la pr�ctica cl���nica](https://bit.ly/2ytsryf);12/05/2020
fake;[Video su YouTube](http://youtu.be/ippt7gje4zm);12/05/2020
fake;[The Tweeted Times - personal newspaper generated from your Twitter account](http://tweetedtimes.com/geoweeb?s=tnp);14/05/2020
partiallyfalse;[Dane County ups the ante on @DHSWI: �We�ll see your 6 health metrics and raise you 3 more.�](https://twitter.com/bellmanequation/status/1262723291195858945);19/05/2020
partiallyfalse;[Center for Clinical Standards and Quality/Quality, Safety & Oversight Group ](https://www.cms.gov/files/document/qso-20-14-nh-revised.pdf);21/05/2020
partiallyfalse;[Gov. Cuomo: 'Ask President Trump' about nursing home deaths](https://twitter.com/nypost/status/1263175238059163648);21/05/2020
fake;"[""Good call with @SE_Rajoelina, President of #Madagascar, about the #COVID19 situation in his country.""](https://twitter.com/drtedros/status/1263370492590919681)";21/05/2020
fake;[A mathematical model reveals the influence of population heterogeneity on herd immunity to SARS-CoV-2](https://science.sciencemag.org/content/sci/early/2020/06/22/science.abc6810.full.pdf);24/06/2020
fake;[Coronavirus disease (COVID-19)](http://bit.ly/2tbtrb0);04/02/2020
fake;[Coronavirus disease (COVID-19): What parents should know | UNICEF](https://www.unicef.org/stories/novel-coronavirus-outbreak-what-parents-should-know);07/03/2020
fake;[Bloomberg - Are you a robot?](https://www.bloomberg.com/news/articles/2020-03-29/gottlieb-says-social-distancing-must-go-on-until-infection-slows);30/03/2020
partiallyfalse;[Worldometer - real time world statistics](http://worldometers.info);10/04/2020
fake;"[Michael A. Ford: ""Parents/Guardians:  This is starting to circulate on social media and it is a HOAX!""](https://twitter.com/fordmich/status/1254127200179273729)";25/04/2020
fake;[The White House Gift Shop is selling coronavirus commemorative coins now / LGBTQ Nation](https://www.lgbtqnation.com/2020/04/white-house-gift-shop-selling-coronavirus-commemorative-coins-now/);29/04/2020
fake;[La Seguridad Social no te ha enviado ningún reembolso por correo electrónico | Oficina de Seguridad del Internauta](https://bit.ly/2yyut2r);01/05/2020
fake;[Provisional Death Counts for Coronavirus Disease 2019 (COVID-19)](https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm);02/05/2020
fake;[Video su YouTube](https://www.youtube.com/watch?v=j-vdmt9vyfw);02/05/2020
fake;[Video shock, Grillo con la mascherina il 17 dicembre. Chi sapeva? (Video) - 7colli.it](https://www.7colli.it/video-shock-grillo-con-la-mascherina-il-17-dicembre-chi-sapeva-video-9217/);03/05/2020
fake;[Active Monitoring of Persons Exposed to Patients with Confirmed COVID-19 â United States, JanuaryâFebruary 2020  | MMWR](https://www.cdc.gov/mmwr/volumes/69/wr/mm6909e1.htm?s_cid=mm6909e1_w);04/05/2020
fake;[Carta Abierta - Equis](http://bit.ly/-cartaab);06/05/2020
fake;[An update of covid-19 outbreak in Nigeria](https://ncdc.gov.ng/diseases/sitreps/?cat=14&name=an%20update%20of%20covid-19%20outbreak%20in%20nigeria);07/05/2020
fake;[House GOP urge Trump against supporting additional funding for state and local governments | TheHill](https://thehill.com/homenews/house/496735-house-gop-urge-trump-against-supporting-additional-funding-for-state-and-local);08/05/2020
fake;[Video su YouTube](https://youtu.be/aika0nunc-u);10/05/2020
fake;[#PIBFactCheck: #Fake news.This roadmap is not made by our Government, but by that of some other country.](https://twitter.com/pibfactcheck/status/1260106349062418432);12/05/2020
fake;"[Zubair: ""This is not recent video.""](https://twitter.com/zoo_bear/status/1260623018453200897)";13/05/2020
partiallyfalse;[Video su YouTube](https://youtu.be/bbkfzhdpqya);20/05/2020
partiallyfalse;[Un d�put� souhaite que StopCovid offre plus de libert�s � ses utilisateurs qu�� ceux qui ne l�utilisent pas.](https://twitter.com/numerama/status/1265241858118242304);26/05/2020
fake;[Infections Swamp the U.S., Which Recorded 42% of All Its Coronavirus Cases in July - The New York Times](https://nyti.ms/3fokihk);01/08/2020
fake;[Links - Health Protection Surveillance Centre](https://bit.ly/3eo6cpz);04/08/2020
fake;[El decano del colegio de bi�logos de Euskadi duda sobre la fiabilidad de las PCR, de que el covid se haya aislado y se ajuste a los postulados de Koch y relaciona la vacuna de la gripe con la mortalidad.](https://twitter.com/pau_vega13/status/1291571195708571649);07/08/2020
fake;[Es ist leider ein Fehler aufgetreten.](https://www.freitag.de/autoren/magda/corona-gibts-schon-eine-weile);16/03/2020
partiallyfalse;"[CMO Maharashtra: ""CM Uddhav Balasaheb Thackeray addressing the State""](https://www.pscp.tv/w/cuxw2dfvuetmtvjiwlpvamr8mwxqsnfwcwd6dmx4yj86pi104dx_gdkefuhaizevxuecsjf9kd3qfyg7ioie)";22/03/2020
partiallyfalse;"[Coronavirus Live Updates: Lockdown, unprecedented restrictions across the country;  trains, bus services suspended till March 31](http://bit.ly/2utlv06)";23/03/2020
fake;[teamoderna.com.mk](http://teamoderna.com.mk/);02/04/2020
fake;"[""We'd been working on screening of contacts for last 4 days.""](https://twitter.com/ani/status/1245748045670645762)";02/04/2020
fake;[ジョンソン首相の怒り＝輸入検査キット、中共ウイルスが付着　故意か – 看中国 / VisionTimesJP](https://www.visiontimesjp.com/?p=5170&fbclid=iwar3loazm05f0t-ub_65tficvx2plzlwxm-ycps-dulzoe1u41kn04impv3k);15/04/2020
fake;[L'Heure des Pros du 17/04/2020 | CNEWS](https://bit.ly/3aejshw);17/04/2020
partiallyfalse;[COVID-19 Antibody Seroprevalence in Santa Clara County, California | medRxiv](https://www.medrxiv.org/content/10.1101/2020.04.14.20062463v1);18/04/2020
partiallyfalse;[USC-LA County Study: Early Results of Antibody Testing Suggest Number of COVID-19 Infections Far Exceeds Number of Confirmed Cases in Los Angeles County](http://createsend.com/t/j-296d9d8ce54262bb2540ef23f30feded);20/04/2020
partiallyfalse;"[Szabo: ""Study: 2.8% to 5.6% of Los Angeles County adult population has antibodies to the coronavirus, meaning 221,000 to 442,000 have been infected.""](https://twitter.com/lizszabo/status/1252327041560653830)";20/04/2020
fake;[Comunicado sobre el Seguro de Vehículos Automotores y/o Remolcados | Argentina.gob.ar](https://www.argentina.gob.ar/noticias/comunicado-sobre-el-seguro-de-vehiculos-automotores-yo-remolcados);21/04/2020
fake;[Press Information Bureau](https://pib.gov.in/pressrelesedetail.aspx?prid=1617152);22/04/2020
fake;[CAMS tracks a record-breaking Arctic ozone hole | Copernicus](https://bit.ly/39jqru8);23/04/2020
fake;[Don't eat or inject yourself with disinfectant, warns FDA commissioner](https://cnn.it/2yddvvw);24/04/2020
fake;[McConnell pushes 'bankruptcy route' as local governments struggle - POLITICO](https://politi.co/351sbpi);24/04/2020
fake;[Be careful what you share. Things aren�t always what they seem online.](https://sharechecklist.gov.uk);26/04/2020
fake;[�Sabes por qu� decenas de camiones salieron este s�bado a las calles de Ourense?](https://www.laregion.es/articulo/quen-cho-dixo/sabes-decenas-camiones-salieron-sabado-calles-ourense/20200426080823941975.html);26/04/2020
fake;[Two Bakersfield doctors cite their testing data to urge reopening | News | bakersfield.com](https://www.bakersfield.com/news/two-bakersfield-doctors-cite-their-testing-data-to-urge-reopening/article_eb1959e0-84fa-11ea-9a07-2f2bea880bf9.html);26/04/2020
partiallyfalse;[Video su YouTube](https://m.youtube.com/watch?feature=youtu.be&v=xflvxx_lblu);26/04/2020
fake;[Earth Finally Fixed Largest Ozone Layer Hole Above Arctic, Healing 1 Million Square Km](https://www.indiatimes.com/technology/science-and-future/earth-finally-fixed-largest-ozone-layer-hole-above-arctic-healing-1-million-square-km-511794.html);26/04/2020
fake;[Video su YouTube](https://youtu.be/fc2fvzuehna);27/04/2020
fake;[Statement from Tasuku Honjo on COVID-19 | KYOTO UNIVERSITY](https://www.kyoto-u.ac.jp/en/about/events_news/department/koto-kenkyu-in/news/2020/200427_1.html);28/04/2020
fake;[White House Gift Shop Sells COVID-19 Commemorative Coins](https://www.thedailybeast.com/white-house-gift-shop-sells-covid-19-commemorative-coins);29/04/2020
fake;[Video su YouTube](https://www.youtube.com/watch?v=eqb1vxhkaas);05/05/2020
fake;[Prevalence of Asymptomatic SARS-CoV-2 Infection: A Narrative Review: Annals of Internal Medicine: Vol 173, No 5](https://www.acpjournals.org/doi/10.7326/m20-3012);03/06/2020
fake;"[""Today I witnessed a bunch of trump supporters crashing a peaceful rally I was attending with my family.""](https://twitter.com/abominablebob/status/1234628542337605632)";03/03/2020
fake;[#IndiaFightsCorona](https://twitter.com/bjp4delhi/status/1239840390598942721);17/03/2020
fake;[Africa BBC News](http://bbc.com/africa);20/03/2020
fake;[Corona Virus: Nigerians Deserve Palliative Measures.](https://link.medium.com/tmigqi0684);25/03/2020
partiallyfalse;[ Second French Study by Dr. Raoult finds Hydroxychloroquine and Azithromycin Helped EVERY PATIENT in Study Group of 80 Minus One.](https://twitter.com/lindaitalian/status/1243857275896430593);28/03/2020
fake;"[""Who r u trying to kill, Corona or humans?""](https://twitter.com/kanwardeepstoi/status/1244508599038009344)";30/03/2020
fake;[Hackers Take Advantage of Zoom's Popularity to Push Malware](https://bit.ly/2xjvjvt);01/04/2020
fake;[Video su YouTube](https://m.youtube.com/watch?v=c3bfraooh84);02/04/2020
fake;[Release notes for Windows Zoom Help Center](https://support.zoom.us/hc/en-us/articles/201361953-new-updates-for-windows);08/04/2020
fake;[�?](https://twitter.com/itamarbengvir/status/1250035253638545409);14/04/2020
fake;"[Rush: ""Dear @KellyannePolls, you seem to be confused, so let me break it down for you. ""](https://twitter.com/repbobbyrush/status/1250417889510899712)";15/04/2020
fake;[Los anestesistas advierten de los respiradores turcos - Diario Sanitario](https://diariosanitario.com/anestesistas-respiradores-turquia/);15/04/2020
fake;[Evolutionary origins of the SARS-CoV-2 sarbecovirus lineage responsible for the COVID-19 pandemic | bioRxiv](https://www.biorxiv.org/content/10.1101/2020.03.30.015008v1);16/04/2020
partiallyfalse;[Live | I24NEWS](http://i24ne.ws/hajm30po6e4);16/04/2020
fake;[Suman 114 los trabajadores de la salud con coronavirus en todo el pa�s | Perfil](https://www.perfil.com/noticias/ciencia/suman-114-los-trabajadores-de-la-salud-con-coronavirus-en-todo-el-pais.phtml);16/04/2020
fake;"[Madawa: ""Srilankan Airlines operates special flights to bring back Sri Lankans stranded in Pakistan land on BIA short while ago.""](https://twitter.com/shehanmlive/status/1252584478368645120)";21/04/2020
fake;[Statement by President Cyril Ramaphosa on South Africa's response to the coronavirus pandemic, Union Buildings, Tshwane | The Presidency](https://bit.ly/2xyysfp);23/04/2020
fake;[WGN Radio](https://wgnradio.com/the-sunday-spin-politics-with-rick-pearson/residents-in-downstate-il-continue-to-seek-a-reasonable-explanation-from-gov-j-b-priztker-about-his-28-day-phasing-plan/);11/05/2020
fake;[UZ Brussel distantieert zich van open brief dr. Frank van Tussenbroek](https://twitter.com/specialistkrant/status/1289159027663024128);31/07/2020
fake;[Noticias Caracol: Principales Noticias de Colombia y el Mundo](http://bit.ly/2uqzkwl);25/02/2020
fake;[Coronavirus in South Korea: How 'trace, test and treat' may be saving lives - BBC News](http://bbc.in/38ngapd);15/03/2020
partiallyfalse;[Franceinfo - En direct](https://bit.ly/2ujcrus);18/03/2020
partiallyfalse;[HCQ_AZ_COVID_19/* 22MarchPREPRINT_AALover_HCQ_AZ_COVID_19.pdf at master � andrewlover/HCQ_AZ_COVID_19 � GitHub](https://github.com/andrewlover/hcq_az_covid_19/blob/master/*%2022marchpreprint_aalover_hcq_az_covid_19.pdf);22/03/2020
fake;"[Sandoz: ""30 million tablets of Sandoz anti-malarial being evaluated in COVID-19 were shipped to US Dept of HHS for clinical studies as part of Novartis COVID response commitment.""](https://twitter.com/sandoz_global/status/1244442713711353856)";30/03/2020
fake;[Cinquante personnes positives au Covid-19 sur le porte-avions Charles-de-Gaulle | LCI](https://bit.ly/3duh6wh);02/04/2020
fake;[Messages being circulated on social media as WHO protocol for lockdown are baseless and FAKE.](https://twitter.com/whosearo/status/1246804406705614848?s=19);05/04/2020
fake;[@SrBachchan](https://twitter.com/reetjain15/status/1246864241274933249);05/04/2020
fake;[Where Have All the Heart Attacks Gone? - The New York Times](https://www.nytimes.com/2020/04/06/well/live/coronavirus-doctors-hospitals-emergency-care-heart-attack-stroke.html);06/04/2020
fake;[MP NEWS](https://www.bhopalsamachar.com/2020/04/24-mp-news.html?m=1);09/04/2020
fake;[Mythbusters](http://bit.ly/covid19mythbusters);09/04/2020
fake;[Video su YouTube](https://youtu.be/rayjn0acczw);10/04/2020
fake;[Telegram: Contact @VOXtelegram](https://t.me/voxtelegram);11/04/2020
fake;[Un documental sobre el origen del coronavirus asegura que el Partido Comunista Chino ocult� que es sint�tico y se filtr� de un laboratorio.](https://twitter.com/infobae/status/1249304650156834821);12/04/2020
fake;"[Whitmer: ""We�ve seen misinformation circulating, so I�d like to be very clear.""](https://twitter.com/govwhitmer/status/1249428640548507657?s=20)";12/04/2020
fake;[Jacques: Confusion over stay-home order leads to car-seat ban at UP store](https://www.detroitnews.com/story/opinion/columnists/ingrid-jacques/2020/04/12/jacques-michigan-weeds-ok-but-car-seats-nope/2978644001/);12/04/2020
fake;[Comunicado de WhatsApp - Informaci�n sobre Facebook](https://about.fb.com/es/news/2020/04/comunicado-de-whatsapp/);13/04/2020
fake;[Public statement for collaboration on COVID-19 vaccine development](https://bit.ly/3a7s38c);13/04/2020
fake;[剑桥大学学者：新冠病毒传播始于中国，地点或是广东](https://bit.ly/3bp71eh);16/04/2020
fake;[Aarogya Setu - Apps on Google Play](https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu);21/05/2020
fake;[Aarogya Setu on the App Store](https://apps.apple.com/in/app/aarogyasetu/id1505825357);21/05/2020
fake;[India�s own COVID-19 tracing mobile app, @SetuAarogya, is one of the most downloaded applications of the nation during the lockdown.](https://twitter.com/_digitalindia/status/1263508703224819712);21/05/2020
fake;[PubMed](http://pubmed.gov);22/07/2020
fake;[Mythbusters](https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters);
fake;[An Effective Treatment for Coronavirus (COVID-19)_](https://docs.google.com/document/d/e/2pacx-1vti-g18ftnzumraj2swrpodtscfio7bj7gdngbjagbdff67wurjb3zsidgpidb2eocfhavjil-7dej7/pub);12/02/2020
fake;[How the World Bank Group is helping countries with COVID-19 (coronavirus)](https://bit.ly/39vehnw);13/03/2020
fake;[Coronavirus Can Be Stopped Only by Harsh Steps, Experts Say - The New York Times](https://www.nytimes.com/2020/03/22/health/coronavirus-restrictions-us.html);16/03/2020
fake;[Rudy Giuliani's Common Sense](http://rudygiulianics.com);29/03/2020
fake;[30 million doses of hydroxychloroquine sulfate donated by Sandoz and 1 million doses of chloroquine phosphate donated by Bayer.](https://twitter.com/secazar/status/1244445179521744899);30/03/2020
fake;[gov.ie - Department of Housing, Local Government and Heritage](https://www.housing.gov.ie/planning/covid-19-coronavirus/public-participation-period-planning-system-extended);30/03/2020
fake;[Medtronic to share ventilator designs](https://www.rte.ie/news/business/2020/0330/1127365-medtronic-to-share-ventilator-designs/);30/03/2020
fake;[El Coronavirus en Colombia](http://www.coronaviruscolombia.gov.co);31/03/2020
partiallyfalse;[167 people of Tabligi Jamaat Nizamuddin reached Tughalakabad Quarantine Centre in 5 buses at 2140 hrs y'day.](https://twitter.com/ani/status/1245348753705504768);01/04/2020
partiallyfalse;[布マスクは有効？　WHOは「どんな状況でも勧めない」 [新型コロナウイルス]：朝日新聞デジタル](http://www.asahi.com/articles/asn424d52n42ulbj003.html?ref=tw_asahi);02/04/2020
fake;[PM @narendramodi #IndiaFightsCorona](https://twitter.com/pmoindia/status/1245918482861936640);03/04/2020
fake;[Barcelona quiere evitar el colapso funerario de Madrid](https://www.lavanguardia.com/vida/20200402/48267075307/barcelona-quiere-evitar-colapso-funerario-madrid.html);03/04/2020
fake;"[Lobliner: ""With this finding, how many deaths are mis-counted for funding purposes?""](https://twitter.com/marclobliner/status/1246551864621109248)";04/04/2020
fake;[Coronavirus – gob.mx](http://www.coronavirus.gob.mx);05/04/2020
fake;[Queen delivers message of hope to UK amid virus outbreak](https://inq.news/queenmessage);06/04/2020
fake;[Attestation de d�placement d�rogatoire](https://media.interieur.gouv.fr/deplacement-covid-19/index.html);06/04/2020
fake;[[Fake News Alert] News That No Person Apart From Govt Is Allowed To Share Or Post COVID-19 Updates Is False](https://www.livelaw.in/top-stories/fake-news-alert-news-that-no-person-apart-from-govt-is-allowed-to-share-or-post-covid-19-updates-is-false-154767);06/04/2020
partiallyfalse;[Est�s son algunas de las presuntas muertes por infarto en Caracas en esta semana.](https://twitter.com/fantasma_956/status/1247188570856665090?s=19);06/04/2020
fake;"[Augusto de Franco: ""Olhem a lama do fundo do po�o que est� subindo com Bolsonaro. � grave! � criminoso!""](https://twitter.com/augustodefranco/status/1247484403430891521)";07/04/2020
fake;[Finance chief sees zero to negative economic growth in 2020 as COVID-19 hits PH hard](https://inq.news/economicgrowth0409);09/04/2020
fake;[Dead man lies on an empty street at China's virus ground zero](http://u.afp.com/3ox7);31/01/2020
partiallyfalse;[Info Coronavirus Covid-19  | Gouvernement.fr](https://www.gouvernement.fr/info-coronavirus);26/02/2020
fake;[#newnormal #shedecides](https://twitter.com/sarahelago/status/1234026169311215616);01/03/2020
fake;[Ministerio de Sanidad, Consumo y Bienestar Social - Profesionales - Situación actual Coronavirus](https://www.mscbs.gob.es/profesionales/saludpublica/ccayes/alertasactual/ncov-china/situacionactual.htm);06/03/2020
fake;[Video su YouTube](https://www.youtube.com/watch?v=pkyx-fyfbgo);18/03/2020
partiallyfalse;[Coronavirus pandemic](https://twitter.com/norbertelekes/status/1240268161578151936);18/03/2020
fake;[Video su YouTube](https://bit.ly/33zr22o);21/03/2020
partiallyfalse;"[La Provence: ""Ce n'est pas moi qui suis bizarre, ce sont les gens qui sont ignorants. On ne va pas m'apprendre la toxicit� de ce m�dicament.""](https://twitter.com/laprovence/status/1241318809325187072)";22/03/2020
fake;[Tucker Carlson Tonight | March 23, 2020 - Dan Patrick, Lieutenant Governor](https://bit.ly/2ugdxhg);24/03/2020
fake;[#StayAtHomeSaveLives  #CoronaFreePakistan](https://twitter.com/khadijasid751/status/1242143695157288962);24/03/2020
fake;[Coronavirus Outbreak in India - covid19india.org](https://www.covid19india.org/faqs);25/03/2020
fake;[Coronavirus Australia: New COVID-19 tests producing results in 15 minutes from a drop of blood set to arrive | 7NEWS.com.au](https://7news.link/2uzgg8r);26/03/2020
partiallyfalse;[FRENTE al CORONAVIRUS las TELECOM están DE TU LADO | Instituto Federal de Telecomunicaciones - IFT](http://www.ift.org.mx/comunicacion-y-medios/frente-al-coronavirus-las-telecom-estan-de-tu-lado);26/03/2020
partiallyfalse;[Coronavirus disease (COVID-19): Tobacco](http://bit.ly/33jfvo0);26/03/2020
fake;[anses.gob.ar](http://anses.gob.ar);27/03/2020
fake;[COVID-19: El Gobierno implementar� el Ingreso Familiar de Emergencia (IFE) para aliviar la situaci�n de los trabajadores m�s afectados por la emergencia | Argentina.gob.ar](https://bit.ly/medidasife);27/03/2020
fake;[Home - Johns Hopkins Coronavirus Resource Center](https://coronavirus.jhu.edu);28/03/2020
fake;[WHO | World Health Organization](http://www.who.int);30/03/2020
fake;[Minist�re de la Sant�](http://www.sante.gov.dz);30/03/2020
fake;[covid19.sante.gov.dz](http://covid19.sante.gov.dz);30/03/2020
fake;[PIB Delhi](https://pib.gov.in/pressreleasepage.aspx?prid=1609360#);30/03/2020
fake;[Coronavirus Tax Relief](http://www.irs.gov/coronavirus);11/04/2020
